"WT"	"dQ"	"HtoA"	"Null"	"WT_pH7"
"YAR020C"	0.565498561416275	0.134961290266801	-0.395679935809954	0.537738612619086	-0.660977237712725
"YAR023C"	-0.0119540369284029	0.321965920255753	-0.105091463278357	0.368496490755315	-0.521398324264458
"YAR027W"	0.445579371010369	0.15244769359105	0.412767146499208	-0.126103866930674	0.450300992085612
"YAR028W"	-0.080607472979291	-0.151644153409672	0.0223209045411946	-0.208598314874616	-0.398251906489544
"YAR029W"	0.652262939493919	0.400103854375789	0.52348666983229	0.74990574334721	0.282649651577342
"YAR030C"	0.562691112999853	0.510188211338607	-0.0440608987565279	0.873630139000053	-0.308270796692272
"YAR031W"	0.335902832676164	0.0806025897685203	0.0473071847580377	0.369472627002447	-0.833824491466386
"YAR033W"	0.296688737243759	-0.191889062080488	-0.0473389523509352	-0.176118841389843	-0.797585243111087
"YAR035C-A"	7.91886548341723	4.61050912449293	3.86729522495113	7.45323578335613	6.47442454244309
"YAR035W"	6.84591344357342	4.81652167134745	5.44235221507171	5.87102837230874	5.77121843304795
"YAR042W"	0.257929285181748	0.0767441025768591	0.329627829974994	0.477684813135466	-0.335528153167506
"YAR047C"	0.714664086742814	0.500855665624845	0.592888353409913	0.181527323839536	-1.01851144962407
"YAR050W"	0.692013000342777	-0.215822712940803	-0.0323912769386018	0.736672546493629	-0.184729335723866
"YAR053W"	-0.132048592953515	-0.287069368518909	-0.179086912851877	-0.384034667818049	-1.56646648909592
"YAR060C"	0.306067084834182	-0.222058344993011	0.007107059498006	0.634649379115263	-0.762893903786225
"YAR061W"	0.0159855749716941	-0.380024063498721	-0.262772963288345	0.122324045644061	-0.680204409435845
"YAR062W"	-0.1607927167322	-0.733223856488845	-0.690259952670143	-0.065241887387589	-1.40848750151523
"YAR064W"	-0.735330699051292	-0.53702625741945	-0.794813132990243	-0.293196801960651	-2.68885967244229
"YAR066W"	-0.837418720822339	-0.659843480107751	-1.36013019281051	-0.508620033831672	-1.07512000442837
"YAR068W"	-1.70600581741047	-2.24534221496422	-1.02653881933263	1.02856081153746	-2.24319345881901
"YAR069C"	0.0271820248703014	-1.56862020087595	-1.59055452406902	-0.00085797260989743	-1.05441357531807
"YAR070C"	2.23640078015237	-2.15718219607351	-0.481097259386287	0.165729298952822	4.0623844758251
"YAR071W"	-0.540180243317122	-0.793872397765928	-1.10330609249066	0.492332874922023	-3.36631198736883
"YAR073W"	-0.699366397000047	-1.26727066198133	-1.79621445693378	0.885058009893174	0.273158137284099
"YAR075W"	0.0619124013641713	-1.2023523470003	-2.02531916305742	1.24678502453502	0.600067412134586
"YBL001C"	0.843390927513196	1.77784291436565	1.46145944158085	-0.150799914295294	0.769168783383886
"YBL002W"	-1.71125757509915	0.726397305052582	-0.0024861421123797	-3.1016221889688	-1.56447377571519
"YBL003C"	-2.13436799821224	0.483724274258536	-0.293953348361873	-3.5713170628949	-1.89851477301949
"YBL004W"	1.19524018854184	0.377067047493332	1.39966563071481	1.90739667765023	1.09572389361092
"YBL005W"	-0.26743947404234	-0.0725872245416975	-0.159272664065905	-0.0122393982499337	0.0380955533494137
"YBL005W-A"	2.71615256553062	1.99306311812273	2.57294265984644	1.39177003419774	2.32236305545922
"YBL005W-B"	-0.138022131391284	0.465023325668849	0.498637646304646	0.0901408954151128	0.753533048347001
"YBL006C"	0.450526239281347	0.604657309792654	0.518898532746541	0.0932230928966045	0.187830268805839
"YBL006W-A"	0.586231489405707	0.931509264573177	-0.196472616307756	1.64780081500796	1.67933576856748
"YBL007C"	-0.271963925174657	-0.161810580640669	-0.045982131532299	-0.444819717730093	0.468281643613069
"YBL008W"	-0.00981359371939242	0.0450109868142102	-0.130256734947169	-0.00655618145220696	-0.0234098447337597
"YBL009W"	0.0754723224715157	-0.149212246076503	-0.159012134196141	0.617264717306283	0.136540435247047
"YBL010C"	-0.616092794775262	-0.0853868047035054	-0.539256393351125	-0.413602901973701	-0.637926712204513
