"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YKL062W"	3395.08315150363	3201.7743594749	2954.66011757914	1330.80534967553	1153.01829834753	881.697797292624	3236.69621476871	3205.03927923775	2790.77724586311	1729.63650532279	2032.12536272873	1794.55753249293	334.684004155979	417.775376284568	477.0826295504	1448.69256134326	1833.57924836248	1192.96305335271	569.374833915473	458.080963531868	685.991006595744	820.011270551312	1100.47973406834	594.267149661224	922.497997880637	880.487368770335	733.748300505162
"YDR342C"	176823.820405017	168040.608341369	157337.410452744	49213.0031994105	44059.3650276632	32666.4189403525	107988.979949679	99581.001241121	130031.587472416	10125.773898508	12752.6353396701	14922.6264238848	3675.73700241625	4880.59939588913	7870.25704876156	11483.5771702111	19673.4408682862	10881.4356540836	9292.06487674844	4957.31453685173	24508.1795138764	14003.1053379452	15560.680108296	14894.9362833543	8768.74455594149	12549.6879562819	3728.10625175762
"YKL035W"	45429.228387953	41231.60246675	35695.1714760407	14612.0641078467	15524.1432746586	12509.4508360935	29701.4986071371	28973.6674761016	27330.1747296615	21160.6442487933	24498.5296739516	22455.9839163288	9744.41640918692	9703.85707346469	7496.78327310342	31951.894996526	27558.2866186886	26016.1236074477	7507.80304255984	6226.97273257704	7776.06172124733	11261.5592045415	9674.92183106282	6628.7567466503	11811.9852337325	9924.68355779834	9017.10964331695
"YNR014W"	13135.5751900257	10519.6153189312	7443.33535838935	6514.47081825227	5603.62930734708	4640.05577058723	8685.51046384104	7152.80098642277	7772.86144384806	4138.61824743008	3770.03532747065	6906.06284807701	516.975868091081	916.64832561261	1128.4530210746	5548.04967815737	6144.53790301123	3597.21424536309	1026.19882856858	652.608495990607	1096.91196963018	1761.58468004001	1140.77899193564	1026.57737226885	1815.75013532122	2237.56252671153	1560.8971398017
"YKR075C"	12619.9916786825	11165.9253510134	9237.7108465725	14164.3686840045	12726.7861659529	11428.1599110621	12938.9835023708	13016.8427536079	9219.69109874255	8119.94051478426	11896.7889641401	13738.6259756423	550.733620671655	723.324818155438	767.02678656672	2296.39912562272	5780.55194800131	2188.93143967714	1840.53725381978	495.731453685172	737.636810692968	1000.22180985323	495.990866058972	521.577820196224	5415.49775748588	2313.67942541364	2536.06208718289
"YPL223C"	635.911716353865	770.66778893269	501.174155958779	356.146733679944	338.773417555719	224.784493375702	420.406444607077	457.059955659855	584.078488901975	640.330879521577	582.022143740253	699.338924868494	13500.20751058	8863.39131646867	4542.72618305903	27599.4911441061	16197.3749979415	14923.9494723571	648.822485159492	359.771350353796	418.780107136191	1152.707650801	1093.24653393832	405.52994333105	878.211409214266	1291.93006445741	804.194469593576
"YMR175W"	178.969165680429	209.30636540331	148.553961984661	54.705924609145	60.4244984529206	43.6004405254594	57.2099491630249	58.0690927272766	75.3388342134309	95.3684288649157	80.3994552914464	110.613440770043	2582.95032602223	1558.87557072457	1554.13280838388	2883.15124380869	2218.03941334171	1195.71181614846	162.205621289873	156.877042305434	60.6276830706549	185.542212062326	143.630688296244	104.570614318069	203.049831055249	237.265287846212	208.172387306211
"YNL013C"	49.5021096562889	68.3091903826702	29.7107923969323	25.6782911430681	15.8490487745366	11.6267841401225	9.53499152717081	22.4783584750748	21.8725647716412	90.414224768037	83.8950837823789	66.2225204610124	842.97930729777	765.102355783895	443.349514329664	374.825477116105	316.212798414869	317.023975775759	43.0341444238439	23.0086328714637	80.8369107608732	145.021499083197	56.8322867359239	65.0378211002627	377.689397683014	240.693976976937	375.976745134792
"YAR035W"	1134.7406675057	1038.64999735701	1086.78951136147	266.830938399707	263.49043587667	297.451894251468	386.600565556198	363.400128680376	1015.04902440246	2275.21823149156	1673.82344240816	3721.56010590788	160177.642473175	185400.520321046	109016.593529906	82248.0967823757	40450.2141626963	55847.5299753875	2989.21787805623	422.52216727597	10041.7406922951	26208.3706210795	1021.94784694234	13796.9448330145	134575.244612926	158095.484342105	179918.724321819
"YER024W"	3005.92041251342	3285.84720917665	2677.09876755516	1387.74416916668	1623.53693384159	1042.53497789765	1594.07721986065	1816.06404513209	2444.05658948302	4375.18149305604	5462.50212183045	5490.6474382235	100010.717795209	89996.1885583362	64835.0474542533	47058.7851121929	20353.639621711	33782.2947596886	7216.49498799844	1213.18246049536	11606.8331034154	26006.833390736	3917.29452756159	11868.7647251009	61878.3915190714	70650.1967520795	66664.2387973525
"YOR100C"	937.493799798332	1199.78962595203	949.181630786205	296.975019306787	336.792286458902	248.038061655947	477.616393770101	580.690927272766	935.659715231319	844.691798517825	993.923700921794	1135.97092790814	29800.3794709144	33562.1077289314	23871.8012045404	10941.1082307562	6017.14281875776	9048.0108693226	1165.23221824562	261.461737175724	3185.19883095274	8859.1074587	1922.99792028281	4468.48088500628	4078.54413736901	5160.17714174204	3758.97592135816
"YDR384C"	1107.32411446529	1057.91669208033	1611.41955605467	1602.10207783925	1292.68804067314	2465.84713638432	1612.28038550343	1285.94942442824	1972.58130440542	587.073185480131	418.310209414917	564.710723931271	28699.8767367877	24199.0242957302	23507.1622923924	3340.21690999668	2468.27975741103	2920.10234334493	1605.50461888956	1656.62156674539	7926.50819405229	9219.52853730383	2113.12775227208	8722.71953579994	9837.47185602241	10704.3674661253	11840.4971167818
