"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YAL016W"	3400.41414792815	3170.24704083675	3389.37592212372	2805.63241924044	3019.24379154921	3267.12634337443	2987.91961765071	2797.61903187702	2791.58734085465	3358.95037768379	3724.00955234004	3335.86850322287	3129.82591782753	2941.63014948604	2573.3547896961	3784.63023940439	3052.93219764571	3600.87926242409	4045.20957584133	3501.49558425729	3410.86854016018	3480.51597799673	3987.55990025328	2600.23759261638	2968.87263267201	3030.96119156144	2721.28010478614
"YAL017W"	2657.12093216603	2769.14948705132	2643.47866036916	1567.49220716815	1544.29168996891	1428.15665187838	2063.02543951514	2469.80963744885	2349.27547547258	2978.71521324834	3497.37630517792	2525.18841757926	2452.74185178287	2543.51479090899	1892.26713000125	3699.22696613742	2481.9292307239	3234.37755632494	2085.50084515551	763.468272553114	1584.17890393878	2521.88121567471	1807.26671820238	1302.03167339938	2803.42462218255	3066.61955852098	2489.3618177872
"YAL018C"	4.56942550673436	1.75151770211975	3.90931478907004	2.23289488200592	1.98113109681707	4.84449339171772	1.73363482312197	1.87319653958957	5.67066494079587	3.71565307265906	7.57386173035365	8.00492005572678	3.85802886635135	6.55333923583636	4.01584705008754	289.422203849144	295.738588445561	161.260750683623	23.172231612839	10.458469487029	5.61367435839398	12.796014624988	27.8994862158172	6.37625697061399	10.0271521508765	36.3441047856914	3.95764994878728
"YAL019W"	335.091203827186	361.688405487728	412.823641725796	419.784237817113	346.697941942987	754.77207042962	427.340983899564	406.483649090936	465.804620136804	304.683551958042	319.850006920319	261.251481818719	315.393859824223	357.156988353081	685.103506744934	588.333660283507	534.604371420822	672.530630691928	400.548575021931	872.236355218215	853.278502475884	348.691398530922	802.885214432961	1390.02401959385	351.78592129325	486.873856563036	422.677014530482
"YAL019W-A"	9.90042193125777	17.5151770211975	6.25490366251206	12.2809218510326	4.95282774204267	9.68898678343543	6.93453929248786	2.80979480938435	4.8605699492536	16.7204388269657	0	7.2772000506607	7.7160577327027	2.45750221343863	8.03169410017508	11.0707946827542	36.3985955009921	26.5713736921879	6.62063760366829	18.8252450766521	13.4728184601455	26.6583638020583	0	0	4.1779800628652	4.11442695687073	8.70682988733202
"YAL020C"	1045.63687012438	1079.81066335683	923.380153178343	1341.96982408556	966.79197524673	1197.55876643262	1055.78360728128	788.615743167208	1028.82063925868	1267.03769777674	804.577157662953	1318.62864917972	1847.03131976571	1938.1500789986	1613.56734472517	1521.44349782993	1233.00242259611	1551.21847106463	1575.71174967305	1600.14583151543	1237.25382859003	1470.47534732153	1456.97316904823	1333.91295825245	1197.40908601717	1510.6804309977	1370.92994225991
"YAL021C"	2494.14475575917	2508.17334943548	2432.37566175938	2300.9981759071	2038.58389862476	2407.7132156837	2381.14742955802	2192.57654958959	2445.67677946611	2922.98041715846	2526.17418944719	2998.20642087221	1908.75978162733	2001.22596914353	2083.42144958542	1432.8771403679	1337.64838466146	1561.29726798235	1880.26107944179	1849.05740530672	2415.00270898109	2028.16831806059	1821.73311846243	2907.57317859998	1851.68076386186	1897.43656494355	2138.71403232465
"YAL022C"	1341.12638622653	1414.3505444617	1310.40231729628	1580.88957646019	1400.65968544967	1450.44132148028	1233.48117665128	1323.41335522003	1576.44485354125	2025.65020011129	1624.8846435351	1908.08185328324	1219.13712176703	1331.14703227926	1329.24537357898	763.884833110037	525.504722545574	798.973719296133	893.786076495219	1240.37448116163	1248.48117730682	1100.45725774896	1006.448132378	1401.50128214095	1341.9671961923	1310.44498576333	1541.90042004752
"YAL023C"	3973.87704902331	3813.92979636576	3834.25594511989	5368.99574378323	4824.05422074956	6801.66872197167	4835.97433909872	4662.38618703843	4645.08468150336	5107.16514836987	3855.6782254985	4351.03791029004	2019.67811153493	2375.58547299068	3023.1296593059	3049.21316405	2438.70589856647	2477.55153323021	4611.27409095496	4723.04482034228	5795.55740760594	4422.08938748542	5250.26998009508	6744.80462351548	2288.69747843756	2186.13218975065	2304.93533017371
"YAL024C"	482.074390960475	499.182545104129	430.806489755518	516.91516518437	503.207298591536	544.521057229071	669.183041725079	740.849231407674	520.891079561678	483.654174957787	664.169413277166	406.795482831933	309.606816524696	260.495234624495	313.236069906828	283.096035458999	291.188764007937	371.999231690631	407.1692126256	487.364678095549	401.939084061009	425.46748628085	405.059207281494	457.815250490084	444.537078688858	364.126785683059	383.892045032366
"YAL025C"	121.85134684625	84.9486085528079	261.924090867693	596.18293349558	466.55637330042	1319.63999990391	241.842057825514	140.489740469218	217.105457733328	54.4962450656661	28.5476326759484	77.8660405420695	112.847344340777	102.395925559943	1395.10526520041	332.123840482625	486.83121482577	463.624658215417	539.581964698966	2131.4360814565	2391.42527667583	296.441005478888	1205.87779310588	3721.18356805032	111.134269672214	102.860673921768	239.042056906752
"YAL026C"	830.112300390075	792.561760209187	905.397305148621	774.814524056054	795.424135372053	927.23603517477	881.553307557519	995.603960791855	801.183946635302	945.01443147962	1017.81049560983	767.016885339638	429.205711381588	347.326979499327	587.920008132816	561.447444625389	416.308936042597	560.74761033169	801.097150043863	830.402477270099	842.051153759096	518.238592312013	743.986299088458	872.271953579994	453.728634827161	425.84319003612	507.37072343453
"YAL026C-A"	241.417980939132	282.87010889234	186.083383959734	193.145407293512	220.896117295103	207.344317165518	222.772074771173	231.339772639312	238.167927513427	377.758062387004	265.667765310866	293.271162041626	309.606816524696	320.294455151502	337.331152207353	264.117530288564	288.913851789125	216.236006598495	201.929446911883	267.736818867941	217.810565105686	201.53723034356	206.662860857905	330.290111077805	301.650160538868	275.666606110339	340.357895595706
"YAL027W"	653.427847463013	606.025124933433	473.027089477475	545.942798650447	584.433673561035	496.076123311894	624.975353735468	572.261542844613	557.34535418108	526.384185293366	544.735439836974	574.171083997129	646.219835113851	708.579804874806	465.035088400137	899.89745349816	934.988921931735	648.708019795484	940.130539720897	683.983904451694	463.689502003342	763.495539290948	932.049502469151	447.613239337102	706.914226636793	711.795863538635	566.735472666339
"YAL028W"	1986.17695359387	1754.14497867293	1882.72600241613	801.609262640125	761.744906726163	645.286519776799	1203.14256724664	1317.79376560126	1692.2884373318	1840.48682199045	1871.32645214584	1892.07201317178	2027.39416926763	1943.88425082996	1228.84919732679	2313.79608869562	2040.59626027437	2468.38899057773	685.235991979668	357.67965645639	764.582447613259	1242.27975317591	741.919670479879	572.587875961136	1679.54798527181	1966.69608538421	1669.33674839848
"YAL029C"	1044.1137282888	1026.38937344217	1141.51991840845	1151.05731167405	1196.60318247751	1439.7834360185	1193.60757571947	1388.97523410566	1023.14997431788	1171.66926891182	1406.40786285182	824.506765739858	818.866626883074	823.263241501942	1081.06602588357	964.740679497148	859.916818710938	762.323548686219	933.509902117229	1554.1285657725	1402.29585472682	811.480594134653	1139.74567763135	1610.64251077709	789.638231881524	546.533047437661	888.888178497624
"YAL030W"	1242.88373783175	1446.75362195091	1085.22578544584	1032.71388292774	931.131615504023	838.097356767164	1004.64137999918	740.849231407674	1087.14747864972	2345.81563987208	1453.01624273092	2049.25953426605	2338.9300002255	2573.00481747025	1664.97018696629	2513.07039298519	1838.1290728001	2264.06428942746	2178.18977160687	1581.32058643878	1360.7546644747	2367.26270562277	2401.42244316886	1159.20351725762	2062.25095903027	2194.36104366439	1921.04328514135
"YAL031C"	1437.84589278574	1349.54438948327	1353.40477997605	1044.99480477877	1133.20698737936	1058.03735675115	1291.55794322586	1322.47675695023	1389.31291049499	1378.50728995651	1571.28500667414	1555.86537083126	837.192263998243	828.17824592882	742.931704266195	1140.29185232368	1091.95786502976	1213.12064718817	873.924163684214	516.64839265923	912.78345067486	1150.57498169683	929.982873860572	703.938769555784	1070.39849210607	1191.12660401408	1008.409206951
