"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YOR100C"	937.493799798332	1199.78962595203	949.181630786205	296.975019306787	336.792286458902	248.038061655947	477.616393770101	580.690927272766	935.659715231319	844.691798517825	993.923700921794	1135.97092790814	29800.3794709144	33562.1077289314	23871.8012045404	10941.1082307562	6017.14281875776	9048.0108693226	1165.23221824562	261.461737175724	3185.19883095274	8859.1074587	1922.99792028281	4468.48088500628	4078.54413736901	5160.17714174204	3758.97592135816
"YDR384C"	1107.32411446529	1057.91669208033	1611.41955605467	1602.10207783925	1292.68804067314	2465.84713638432	1612.28038550343	1285.94942442824	1972.58130440542	587.073185480131	418.310209414917	564.710723931271	28699.8767367877	24199.0242957302	23507.1622923924	3340.21690999668	2468.27975741103	2920.10234334493	1605.50461888956	1656.62156674539	7926.50819405229	9219.52853730383	2113.12775227208	8722.71953579994	9837.47185602241	10704.3674661253	11840.4971167818
"YOR142W-A"	0	0	0	16.7467116150444	0	0	0	0	0	583.357532407472	365.293177302441	873.264006079285	2.89352164976351	69.6292293807613	0	196.111220094502	159.24385531684	1.83250853049572	470.065269860449	0	0	553.427632530729	0	0	2272.82115419867	3692.69819379148	660.927541447476
"YPR158W-A"	0	0	0	16.7467116150444	0	0	0	0	0	583.357532407472	365.293177302441	873.264006079285	2.89352164976351	69.6292293807613	0	196.111220094502	159.24385531684	1.83250853049572	470.065269860449	0	0	553.427632530729	0	0	2272.82115419867	3692.69819379148	660.927541447476
"YPL156C"	442.472703235444	470.282503019153	451.134926658682	414.202000612098	511.131822978804	389.497268694104	551.295873752785	632.203832111479	589.749153842771	286.724562106857	367.040991547908	323.835402254401	3539.74148487736	4032.7611322528	2276.98527739963	1652.71149192544	1289.87522806641	969.397012632235	489.927182671453	330.487635790115	520.948980458961	1598.43549357141	526.990295187658	904.153238433064	879.882601239412	933.974919209655	926.090088016224
"YAR035C-A"	0.761570917789059	0	1.56372591562802	0	0	0	0.866817411560983	0	3.24037996616907	1.85782653632953	2.33041899395497	0	295.139208275878	245.750221343863	218.462079524762	91.7294416571059	40.9484199386161	78.7978668113159	0	0	4.49093948671518	22.3930255937289	2.06662860857905	6.37625697061399	155.420858338586	100.117722617188	267.53713653802
"YNL202W"	594.025315875466	690.097974635181	461.299145110265	396.338841556051	440.801669041798	338.145638741896	465.480950008248	509.509458768362	490.107469883072	858.315859784242	759.71659202932	790.303925501753	8204.09838429614	10317.4134594199	6516.91659288206	5260.20901640576	2909.61272786056	5622.13617156086	3088.52744211126	796.935374911606	4661.59518721036	9859.32926855323	5883.69164862455	3749.23909872102	8455.3960512266	10528.8185826322	5459.18233935718
"YGL056C"	1378.4433611982	1384.57474352566	1440.1915682934	1634.47905362833	1674.05577681042	2373.80176194168	1429.38191166406	1428.31236143705	1519.73820413329	1607.63922943715	1504.28546059793	1608.98893120108	5509.26522114973	6136.38302695627	5455.12663283892	5067.26088050633	3851.42638644873	4558.3649696081	2962.73532764156	2779.8611896523	3792.59839653097	3808.94702003808	2913.94633809646	3814.27691982129	6687.27488862205	6685.94380491493	7392.09857434489
"YCR005C"	7579.91534475451	7599.83530949759	7049.27642765109	3276.77323934369	4859.71458049227	2912.50942710069	3097.13861150739	3715.48533627591	6713.25719491077	2200.90517003838	3005.65789745342	2271.21413581121	113796.419441899	123710.661424501	59448.1902212659	208474.134670944	118511.552039011	149310.962556261	24933.3212154148	7141.04296574337	16911.7553720977	39247.5095239423	23891.2600294781	12369.9385229911	66515.1137928392	85405.9032950702	51027.563849694
"YIL057C"	1378.4433611982	2334.77309692563	1261.14495095399	285.810544896758	352.641335233438	202.4998237738	1008.10864964542	1043.37047255139	1837.29544081786	508.425195442181	781.855572471892	620.745164321358	67901.3080477837	71955.6648094832	45229.6821557259	29699.7790496343	20087.47489211	31779.3629358567	3439.42123510568	395.330146609695	12342.224444365	27857.9901731509	7052.37012677601	14435.8457814701	36341.7417788267	41830.6931326785	36719.8677548382
